cadena_id,cadena,siglas,nombre_tienda,dimension,mediciones,promedio
1,Zorro Abarrotero,ZCV,Zorro Calzada La Viga,Ofertas y precios,3,50.00
1,Zorro Abarrotero,ZRH,Zorro Río Hondo,Ofertas y precios,3,46.00
1,Zorro Abarrotero,ZIR,Zorro Irapuato,Ofertas y precios,3,33.33
1,Zorro Abarrotero,ZPI,Zorro Picacho,Ofertas y precios,3,31.83
1,Zorro Abarrotero,ZQR,Zorro Querétaro,Ofertas y precios,3,19.33
1,Zorro Abarrotero,ZAG,Zorro Aragón,Orden y limpieza,3,100.00
1,Zorro Abarrotero,ZM2,Zorro Peñón,Orden y limpieza,3,100.00
1,Zorro Abarrotero,ZN2,Zorro Nicolás Romero 2,Orden y limpieza,3,100.00
1,Zorro Abarrotero,ZSJ,Zorro San Juanico,Orden y limpieza,3,100.00
1,Zorro Abarrotero,ZL2,Zorro Campestre,Orden y limpieza,3,97.67
1,Zorro Abarrotero,ZTT,Zorro Tultitlán,Orden y limpieza,3,97.67
1,Zorro Abarrotero,ZCL,Zorro Chalco,Orden y limpieza,3,97.62
1,Zorro Abarrotero,ZIZ,Zorro Izcalli,Orden y limpieza,3,97.62
1,Zorro Abarrotero,ZMI,Zorro Minas,Orden y limpieza,2,96.50
1,Zorro Abarrotero,ZCM,Zorro Chimalhuacán,Orden y limpieza,3,95.33
1,Zorro Abarrotero,ZTE,Zorro Texcoco 2,Orden y limpieza,3,95.33
1,Zorro Abarrotero,ZAP,Zorro Aeropuerto,Orden y limpieza,3,95.24
1,Zorro Abarrotero,ZTN,Zorro Tenayuca,Orden y limpieza,3,95.24
1,Zorro Abarrotero,ZIX,Zorro Ixtapaluca,Orden y limpieza,3,93.00
1,Zorro Abarrotero,ZVV,Zorro Vicente Villada,Orden y limpieza,3,92.95
1,Zorro Abarrotero,ZA2,Zorro Alta Tensión 2,Orden y limpieza,3,90.67
1,Zorro Abarrotero,ZTM,Zorro Tecámac 2,Orden y limpieza,3,90.67
1,Zorro Abarrotero,ZTX,Zorro Texcoco,Orden y limpieza,3,90.62
1,Zorro Abarrotero,ZAM,Zorro Amecameca,Orden y limpieza,3,90.57
1,Zorro Abarrotero,ZE3,Zorro Ecatepec 3,Orden y limpieza,3,90.57
1,Zorro Abarrotero,ZIG,Zorro Iguala,Orden y limpieza,3,90.57
1,Zorro Abarrotero,ZPC,Zorro Paseo Chalco,Orden y limpieza,3,90.57
1,Zorro Abarrotero,ZC2,Zorro Contreras 2,Orden y limpieza,3,88.29
1,Zorro Abarrotero,ZCN,Zorro Cuautitlán,Orden y limpieza,3,88.29
1,Zorro Abarrotero,ZOZ,Zorro Ozumba,Orden y limpieza,3,88.29
1,Zorro Abarrotero,ZPA,Zorro Pantitlán,Orden y limpieza,3,88.29
1,Zorro Abarrotero,ZAZ,Zorro Cien Metros,Orden y limpieza,3,88.19
1,Zorro Abarrotero,ZCE,Zorro Centenario,Orden y limpieza,3,88.19
1,Zorro Abarrotero,ZOC,Zorro Coacalco,Orden y limpieza,3,88.00
1,Zorro Abarrotero,ZVM,Zorro Vía Morelos,Orden y limpieza,3,88.00
1,Zorro Abarrotero,ZAR,Zorro Armas,Orden y limpieza,2,86.00
1,Zorro Abarrotero,ZFR,Zorro San Francisco del Rinćon,Orden y limpieza,1,86.00
1,Zorro Abarrotero,ZNR,Zorro Nicolás Romero,Orden y limpieza,3,85.95
1,Zorro Abarrotero,ZPR,Zorro Primavera,Orden y limpieza,3,85.95
1,Zorro Abarrotero,ZER,Zorro Ermita Iztapalapa,Orden y limpieza,3,85.90
1,Zorro Abarrotero,ZAN,Zorro Atizapán 2,Orden y limpieza,3,85.81
1,Zorro Abarrotero,ZCU,Zorro Cuautepec,Orden y limpieza,3,85.81
1,Zorro Abarrotero,ZHH,Zorro Huehuetoca,Orden y limpieza,3,85.67
1,Zorro Abarrotero,ZEC,Zorro Ecatepec,Orden y limpieza,3,85.62
1,Zorro Abarrotero,ZCO,Zorro Contreras,Orden y limpieza,3,83.52
1,Zorro Abarrotero,ZAT,Zorro Atizapán,Orden y limpieza,3,83.29
1,Zorro Abarrotero,ZLG,Zorro Lago de Guadalupe,Orden y limpieza,3,83.24
1,Zorro Abarrotero,PSU,Cazador Santa Úrsula,Orden y limpieza,3,81.24
1,Zorro Abarrotero,ZE9,Zorro Central E9,Orden y limpieza,3,80.90
1,Zorro Abarrotero,ZTY,Zorro Tulyehualco,Orden y limpieza,3,80.90
1,Zorro Abarrotero,ZCA,Zorro Central C47,Orden y limpieza,3,78.86
1,Zorro Abarrotero,ZE2,Zorro Ecatepec 2,Orden y limpieza,3,78.86
1,Zorro Abarrotero,ZJR,Zorro San Juan del Río,Orden y limpieza,3,78.76
1,Zorro Abarrotero,ZAC,Zorro Avenida Central,Orden y limpieza,3,78.67
1,Zorro Abarrotero,FAX,Flecha Abarrotera Xochimilco,Orden y limpieza,3,78.57
1,Zorro Abarrotero,ZH2,Zorro Central H2,Orden y limpieza,3,78.52
1,Zorro Abarrotero,ZRY,Zorro Reyes,Orden y limpieza,3,78.52
1,Zorro Abarrotero,ZCV,Zorro Calzada La Viga,Orden y limpieza,3,78.33
1,Zorro Abarrotero,ZTL,Zorro Tlalnepantla,Orden y limpieza,4,76.75
1,Zorro Abarrotero,ZAL,Zorro Alta Tensión,Orden y limpieza,3,76.43
1,Zorro Abarrotero,ZCP,Zorro Carrillo Puerto,Orden y limpieza,3,76.29
1,Zorro Abarrotero,ZNZ,Zorro Nezahualcóyotl,Orden y limpieza,3,76.24
1,Zorro Abarrotero,ZQ6,Zorro Central Q6,Orden y limpieza,3,76.14
1,Zorro Abarrotero,ZCC,Zorro Carretera Cuernavaca,Orden y limpieza,3,76.05
1,Zorro Abarrotero,ZRH,Zorro Río Hondo,Orden y limpieza,3,76.00
1,Zorro Abarrotero,ZV2,Zorro Valle de Chalco 2,Orden y limpieza,3,73.57
1,Zorro Abarrotero,ZCH,Zorro Chicoloapan,Orden y limpieza,3,71.52
1,Zorro Abarrotero,ZRO,Zorro Roldán,Orden y limpieza,3,71.52
1,Zorro Abarrotero,ZTC,Zorro Tecámac,Orden y limpieza,3,71.52
1,Zorro Abarrotero,ZVC,Zorro Valle de Chalco,Orden y limpieza,3,66.62
1,Zorro Abarrotero,ZT2,Zorro Toluca 2,Orden y limpieza,3,66.43
1,Zorro Abarrotero,ZES,Zorro Estacas,Orden y limpieza,3,64.43
1,Zorro Abarrotero,ZLN,Zorro León,Orden y limpieza,3,64.43
1,Zorro Abarrotero,CCA,Cazador Comercial,Orden y limpieza,3,64.14
1,Zorro Abarrotero,ZA3,Zorro Alta Tensión 3,Orden y limpieza,3,64.05
1,Zorro Abarrotero,ZET,Zorro Ermita Iztapalapa 2,Orden y limpieza,3,64.00
1,Zorro Abarrotero,ZTU,Zorro Tulancingo,Orden y limpieza,3,62.10
1,Zorro Abarrotero,ZIR,Zorro Irapuato,Orden y limpieza,3,57.29
1,Zorro Abarrotero,CNA,Cazador Comercial Naucalpan,Orden y limpieza,3,54.86
1,Zorro Abarrotero,ZT1,Zorro Toluca 1,Orden y limpieza,3,54.71
1,Zorro Abarrotero,ZCJ,Zorro Cuajimalpa,Orden y limpieza,3,49.90
1,Zorro Abarrotero,ZJI,Zorro Jiutepec,Orden y limpieza,3,49.71
1,Zorro Abarrotero,ZQR,Zorro Querétaro,Orden y limpieza,3,47.52
